Name,Setter,Ascensionist Count,Angle,V Grade,Holds
ambitious droids of yore,fettsnabb,56,40,5,"[[(136, 8), 'Feet'], [(104, 32), 'Starting'], [(72, 48), 'Feet'], [(128, 56), 'Starting'], [(96, 72), 'Hand'], [(64, 88), 'Hand'], [(96, 88), 'Hand'], [(80, 112), 'Hand'], [(48, 128), 'Hand'], [(64, 152), 'Finish']]"
crossingfeet exercise,banana,43,50,1,"[[(8, 16), 'Feet'], [(16, 40), 'Starting'], [(32, 40), 'Starting'], [(8, 56), 'Feet'], [(8, 64), 'Hand'], [(32, 80), 'Feet'], [(32, 88), 'Hand'], [(8, 112), 'Hand'], [(24, 136), 'Hand'], [(8, 152), 'Finish'], [(44, 4), 'Feet'], [(12, 4), 'Feet']]"
geva shoulders #1,geva.levin,81,40,8,"[[(128, 64), 'Starting'], [(120, 96), 'Starting'], [(96, 120), 'Hand'], [(96, 128), 'Hand'], [(56, 144), 'Hand'], [(40, 152), 'Finish'], [(124, 28), 'Feet'], [(140, 28), 'Feet'], [(132, 84), 'Feet'], [(52, 100), 'Feet']]"
cancel culture,benconner,71,40,6,"[[(64, 16), 'Feet'], [(80, 40), 'Starting'], [(48, 56), 'Starting'], [(32, 88), 'Feet'], [(64, 88), 'Hand'], [(64, 104), 'Hand'], [(80, 120), 'Hand'], [(48, 136), 'Hand'], [(88, 152), 'Finish'], [(28, 28), 'Feet'], [(36, 68), 'Feet'], [(116, 132), 'Feet']]"
Funky Monkey Man,Webley,253,40,5,"[[(32, 8), 'Feet'], [(56, 40), 'Starting'], [(72, 48), 'Starting'], [(48, 56), 'Hand'], [(80, 72), 'Hand'], [(64, 88), 'Hand'], [(104, 88), 'Feet'], [(72, 112), 'Hand'], [(80, 128), 'Hand'], [(112, 144), 'Finish'], [(60, 28), 'Feet']]"
Flying Machines,ChalkySkin,54,40,7,"[[(136, 16), 'Feet'], [(120, 24), 'Starting'], [(136, 32), 'Starting'], [(104, 72), 'Hand'], [(80, 96), 'Hand'], [(80, 112), 'Hand'], [(40, 128), 'Hand'], [(64, 136), 'Hand'], [(64, 152), 'Finish'], [(108, 60), 'Feet'], [(60, 76), 'Feet'], [(28, 92), 'Feet']]"
Hippy,veranaputi,47,40,1,"[[(104, 24), 'Feet'], [(72, 40), 'Starting'], [(104, 56), 'Feet'], [(88, 64), 'Hand'], [(88, 80), 'Hand'], [(104, 104), 'Hand'], [(72, 112), 'Hand'], [(80, 136), 'Hand'], [(72, 152), 'Finish'], [(80, 152), 'Finish'], [(92, 4), 'Feet'], [(44, 4), 'Feet']]"
Miguelico 1 7a,patata,50,10,5,"[[(136, 40), 'Starting'], [(16, 72), 'Hand'], [(120, 80), 'Hand'], [(40, 88), 'Hand'], [(80, 88), 'Hand'], [(80, 96), 'Hand'], [(48, 112), 'Hand'], [(56, 128), 'Hand'], [(88, 152), 'Hand'], [(104, 152), 'Hand'], [(128, 152), 'Finish'], [(140, 4), 'Feet'], [(92, 44), 'Feet']]"
jsut campus,BffClimb,45,30,4,"[[(72, 80), 'Starting'], [(88, 80), 'Starting'], [(56, 112), 'Hand'], [(72, 112), 'Hand'], [(48, 152), 'Finish'], [(72, 152), 'Finish']]"
MuhBuffs,Skeezikz,46,25,5,"[[(112, 8), 'Feet'], [(120, 40), 'Starting'], [(128, 80), 'Hand'], [(48, 88), 'Hand'], [(64, 88), 'Hand'], [(88, 96), 'Hand'], [(32, 120), 'Hand'], [(40, 136), 'Hand'], [(16, 152), 'Finish'], [(140, 4), 'Feet'], [(60, 44), 'Feet'], [(92, 44), 'Feet'], [(140, 44), 'Feet'], [(28, 60), 'Feet'], [(76, 76), 'Feet']]"
trash pile,mattyd88,135,20,5,"[[(40, 40), 'Starting'], [(64, 72), 'Hand'], [(64, 80), 'Hand'], [(96, 96), 'Hand'], [(96, 128), 'Hand'], [(104, 136), 'Hand'], [(72, 152), 'Finish']]"
Raisin Brand,mikeylight,85,10,5,"[[(72, 48), 'Starting'], [(40, 80), 'Hand'], [(40, 104), 'Hand'], [(40, 112), 'Hand'], [(64, 136), 'Hand'], [(48, 152), 'Finish'], [(44, 4), 'Feet'], [(60, 28), 'Feet'], [(60, 76), 'Feet']]"
pinch it twice,bmacg,84,15,3,"[[(80, 32), 'Feet'], [(40, 48), 'Starting'], [(16, 56), 'Starting'], [(64, 72), 'Hand'], [(24, 80), 'Hand'], [(56, 88), 'Hand'], [(88, 88), 'Hand'], [(72, 120), 'Hand'], [(40, 128), 'Hand'], [(40, 152), 'Finish'], [(44, 4), 'Feet'], [(44, 28), 'Feet'], [(52, 52), 'Feet']]"
geva crimp master,geva.levin,60,25,7,"[[(136, 8), 'Feet'], [(120, 40), 'Starting'], [(104, 88), 'Hand'], [(80, 104), 'Hand'], [(64, 136), 'Hand'], [(24, 152), 'Finish'], [(108, 4), 'Feet'], [(60, 76), 'Feet']]"
Easy Money,Shawn_lab06,504,5,2,"[[(8, 8), 'Feet'], [(40, 32), 'Starting'], [(56, 32), 'Feet'], [(8, 48), 'Feet'], [(16, 56), 'Hand'], [(48, 80), 'Hand'], [(24, 96), 'Hand'], [(56, 112), 'Hand'], [(24, 136), 'Hand'], [(16, 152), 'Finish'], [(52, 4), 'Feet'], [(76, 76), 'Feet']]"
Crazy Gripper,Olthetime,251,15,2,"[[(88, 8), 'Feet'], [(56, 8), 'Feet'], [(72, 40), 'Starting'], [(72, 56), 'Feet'], [(104, 56), 'Feet'], [(40, 72), 'Feet'], [(88, 72), 'Hand'], [(96, 96), 'Hand'], [(72, 104), 'Hand'], [(40, 120), 'Hand'], [(72, 120), 'Hand'], [(40, 136), 'Hand'], [(48, 136), 'Hand'], [(72, 144), 'Finish'], [(52, 84), 'Feet'], [(28, 92), 'Feet'], [(60, 108), 'Feet']]"
Breakably Beautiful,GirthQuake,54,40,6,"[[(136, 16), 'Feet'], [(112, 24), 'Feet'], [(16, 40), 'Feet'], [(32, 40), 'Feet'], [(48, 48), 'Feet'], [(128, 48), 'Starting'], [(136, 48), 'Starting'], [(8, 64), 'Feet'], [(16, 72), 'Feet'], [(48, 80), 'Hand'], [(16, 88), 'Hand'], [(88, 88), 'Hand'], [(128, 88), 'Hand'], [(40, 96), 'Hand'], [(56, 96), 'Hand'], [(88, 96), 'Hand'], [(16, 112), 'Hand'], [(48, 136), 'Hand'], [(72, 152), 'Finish'], [(44, 60), 'Feet'], [(36, 68), 'Feet']]"
crimps bro (not really),BKBChicago,41,10,2,"[[(80, 72), 'Starting'], [(96, 72), 'Starting'], [(80, 104), 'Hand'], [(112, 104), 'Hand'], [(96, 128), 'Hand'], [(64, 136), 'Hand'], [(40, 152), 'Finish'], [(72, 152), 'Hand'], [(68, 36), 'Feet'], [(100, 36), 'Feet'], [(116, 52), 'Feet'], [(124, 76), 'Feet']]"
Tree Fiddy,RJClimbs,42,20,2,"[[(120, 8), 'Feet'], [(136, 40), 'Starting'], [(136, 48), 'Starting'], [(32, 56), 'Feet'], [(104, 64), 'Hand'], [(120, 72), 'Hand'], [(80, 80), 'Hand'], [(72, 88), 'Hand'], [(56, 96), 'Hand'], [(32, 104), 'Hand'], [(64, 104), 'Hand'], [(32, 128), 'Hand'], [(24, 136), 'Hand'], [(8, 152), 'Finish'], [(116, 4), 'Feet'], [(68, 20), 'Feet'], [(116, 20), 'Feet'], [(108, 28), 'Feet'], [(60, 44), 'Feet'], [(28, 60), 'Feet'], [(4, 84), 'Feet']]"
Cool Rocks,kyrafrank,82,20,1,"[[(64, 32), 'Starting'], [(112, 32), 'Feet'], [(64, 48), 'Feet'], [(80, 56), 'Feet'], [(96, 56), 'Hand'], [(56, 64), 'Hand'], [(80, 72), 'Feet'], [(104, 72), 'Hand'], [(88, 80), 'Hand'], [(136, 80), 'Feet'], [(64, 96), 'Feet'], [(96, 96), 'Hand'], [(80, 120), 'Hand'], [(104, 120), 'Hand'], [(120, 136), 'Hand'], [(104, 152), 'Finish'], [(100, 4), 'Feet'], [(60, 4), 'Feet']]"
colibri à gorge rubis,flap,253,20,4,"[[(88, 24), 'Feet'], [(112, 24), 'Feet'], [(32, 48), 'Starting'], [(64, 56), 'Hand'], [(88, 72), 'Hand'], [(104, 72), 'Hand'], [(64, 80), 'Feet'], [(96, 96), 'Hand'], [(88, 104), 'Hand'], [(48, 112), 'Hand'], [(80, 136), 'Hand'], [(32, 152), 'Finish'], [(72, 152), 'Hand'], [(76, 4), 'Feet'], [(44, 4), 'Feet'], [(28, 4), 'Feet'], [(108, 60), 'Feet'], [(28, 108), 'Feet']]"
plumbus 2000,Hangar18SC,59,60,6,"[[(8, 56), 'Starting'], [(24, 64), 'Starting'], [(112, 80), 'Feet'], [(32, 88), 'Hand'], [(40, 88), 'Hand'], [(72, 96), 'Hand'], [(88, 112), 'Hand'], [(72, 152), 'Finish'], [(4, 20), 'Feet'], [(12, 44), 'Feet'], [(52, 52), 'Feet'], [(76, 60), 'Feet'], [(60, 108), 'Feet']]"
Pretty Hate,adamgconnor,44,20,5,"[[(88, 32), 'Starting'], [(96, 72), 'Hand'], [(56, 80), 'Hand'], [(56, 104), 'Hand'], [(64, 136), 'Hand'], [(72, 152), 'Finish'], [(92, 4), 'Feet'], [(68, 36), 'Feet'], [(60, 60), 'Feet'], [(84, 100), 'Feet']]"
that’s it,KilterStudio,89,20,4,"[[(112, 24), 'Feet'], [(104, 48), 'Starting'], [(72, 64), 'Hand'], [(104, 80), 'Hand'], [(48, 96), 'Hand'], [(88, 104), 'Hand'], [(64, 128), 'Hand'], [(40, 144), 'Hand'], [(40, 152), 'Finish'], [(52, 52), 'Feet'], [(44, 60), 'Feet']]"
milk & glowing lead,miriamborgstrom,316,0,4,"[[(96, 40), 'Feet'], [(112, 40), 'Feet'], [(88, 56), 'Starting'], [(56, 80), 'Hand'], [(88, 96), 'Hand'], [(64, 120), 'Hand'], [(64, 136), 'Hand'], [(32, 144), 'Finish'], [(44, 44), 'Feet'], [(60, 60), 'Starting'], [(92, 92), 'Feet']]"
Tara’s Project,GirthQuake,73,20,3,"[[(40, 8), 'Feet'], [(32, 8), 'Feet'], [(8, 8), 'Feet'], [(16, 16), 'Feet'], [(56, 16), 'Feet'], [(16, 32), 'Starting'], [(24, 32), 'Starting'], [(56, 32), 'Feet'], [(24, 56), 'Hand'], [(32, 56), 'Hand'], [(56, 80), 'Hand'], [(72, 80), 'Hand'], [(120, 88), 'Feet'], [(64, 104), 'Hand'], [(104, 112), 'Hand'], [(96, 128), 'Hand'], [(112, 152), 'Finish'], [(20, 4), 'Feet'], [(4, 4), 'Feet'], [(76, 44), 'Feet'], [(84, 52), 'Feet'], [(108, 76), 'Feet']]"
佛,chifeng.hsieh,109,25,7,"[[(8, 24), 'Feet'], [(16, 56), 'Starting'], [(40, 80), 'Hand'], [(8, 112), 'Hand'], [(40, 112), 'Hand'], [(64, 136), 'Hand'], [(72, 152), 'Finish'], [(52, 36), 'Feet'], [(44, 44), 'Starting'], [(20, 68), 'Feet'], [(60, 76), 'Feet'], [(36, 132), 'Hand']]"
La petite promenade,PLANET,191,30,4,"[[(96, 24), 'Feet'], [(16, 48), 'Starting'], [(32, 48), 'Starting'], [(40, 72), 'Hand'], [(72, 80), 'Hand'], [(88, 80), 'Hand'], [(104, 88), 'Hand'], [(104, 104), 'Hand'], [(104, 128), 'Hand'], [(128, 128), 'Hand'], [(96, 136), 'Hand'], [(72, 144), 'Hand'], [(48, 152), 'Finish'], [(64, 152), 'Finish'], [(36, 4), 'Feet'], [(4, 4), 'Feet'], [(68, 52), 'Feet']]"
sicktities,thadragon69,83,20,4,"[[(112, 16), 'Feet'], [(136, 56), 'Starting'], [(96, 64), 'Feet'], [(72, 80), 'Feet'], [(128, 80), 'Hand'], [(120, 104), 'Hand'], [(136, 104), 'Hand'], [(96, 112), 'Hand'], [(88, 128), 'Hand'], [(72, 136), 'Hand'], [(8, 144), 'Finish'], [(40, 152), 'Hand'], [(140, 28), 'Feet'], [(4, 100), 'Feet'], [(36, 100), 'Feet']]"
I under estimated this one,jakeclimbs,43,40,5,"[[(112, 64), 'Starting'], [(104, 72), 'Starting'], [(112, 112), 'Hand'], [(120, 112), 'Hand'], [(80, 144), 'Hand'], [(40, 152), 'Finish'], [(72, 152), 'Hand'], [(124, 60), 'Feet']]"
Sweep The Leg,BobsFett,60,30,3,"[[(8, 24), 'Feet'], [(32, 48), 'Starting'], [(72, 48), 'Feet'], [(24, 64), 'Starting'], [(48, 64), 'Hand'], [(48, 80), 'Hand'], [(56, 88), 'Hand'], [(80, 88), 'Hand'], [(120, 96), 'Feet'], [(72, 112), 'Hand'], [(88, 128), 'Hand'], [(80, 136), 'Hand'], [(88, 152), 'Finish']]"
swing Dino,Noah_Colvin,128,10,1,"[[(40, 48), 'Hand'], [(96, 48), 'Starting'], [(112, 64), 'Starting'], [(56, 80), 'Hand'], [(88, 80), 'Hand'], [(112, 80), 'Feet'], [(64, 96), 'Hand'], [(72, 112), 'Hand'], [(96, 120), 'Hand'], [(96, 136), 'Hand'], [(80, 152), 'Finish'], [(108, 4), 'Feet'], [(100, 4), 'Feet']]"
high 5,Arne,55,20,5,"[[(112, 16), 'Feet'], [(128, 32), 'Starting'], [(96, 40), 'Starting'], [(48, 88), 'Hand'], [(56, 88), 'Hand'], [(96, 88), 'Hand'], [(32, 120), 'Hand'], [(40, 152), 'Finish'], [(116, 36), 'Feet'], [(36, 68), 'Feet']]"
Mali Corn Libations,bkbskilterboard,43,45,5,"[[(104, 8), 'Feet'], [(136, 40), 'Starting'], [(120, 48), 'Starting'], [(136, 64), 'Hand'], [(104, 72), 'Hand'], [(64, 80), 'Feet'], [(104, 104), 'Hand'], [(80, 120), 'Hand'], [(96, 152), 'Finish']]"
What The Wall Told,micahwood,43,20,2,"[[(48, 8), 'Feet'], [(48, 16), 'Feet'], [(80, 32), 'Feet'], [(48, 64), 'Starting'], [(48, 72), 'Starting'], [(88, 80), 'Hand'], [(96, 80), 'Feet'], [(56, 96), 'Hand'], [(80, 96), 'Feet'], [(80, 128), 'Hand'], [(80, 152), 'Finish'], [(52, 4), 'Feet'], [(44, 4), 'Feet']]"
Visit Seattle,pbs9220,43,20,5,"[[(136, 8), 'Feet'], [(104, 24), 'Starting'], [(112, 32), 'Starting'], [(96, 64), 'Hand'], [(120, 72), 'Hand'], [(72, 88), 'Hand'], [(64, 112), 'Hand'], [(72, 144), 'Finish']]"
Töl. Gib Gas,ClimbingChris98,41,30,4,"[[(72, 8), 'Feet'], [(40, 8), 'Feet'], [(32, 48), 'Starting'], [(40, 48), 'Starting'], [(88, 64), 'Hand'], [(48, 80), 'Hand'], [(48, 104), 'Hand'], [(48, 112), 'Hand'], [(72, 152), 'Finish']]"
Morty Jr.,jwilder,42,0,1,"[[(40, 8), 'Feet'], [(80, 32), 'Feet'], [(40, 40), 'Starting'], [(48, 72), 'Hand'], [(72, 72), 'Hand'], [(48, 88), 'Hand'], [(80, 104), 'Hand'], [(80, 112), 'Hand'], [(56, 128), 'Hand'], [(64, 136), 'Hand'], [(64, 152), 'Finish']]"
Fingers Test 2.0,Shawn_lab06,45,15,5,"[[(8, 32), 'Starting'], [(32, 32), 'Starting'], [(64, 32), 'Feet'], [(16, 112), 'Hand'], [(16, 152), 'Finish'], [(52, 4), 'Feet'], [(4, 4), 'Feet'], [(4, 68), 'Hand'], [(44, 76), 'Hand'], [(28, 92), 'Hand'], [(52, 100), 'Hand'], [(36, 132), 'Hand']]"
bph14,brianharrington,106,30,5,"[[(112, 32), 'Feet'], [(88, 56), 'Starting'], [(88, 80), 'Hand'], [(112, 88), 'Hand'], [(120, 88), 'Feet'], [(88, 120), 'Hand'], [(72, 128), 'Hand'], [(40, 136), 'Hand'], [(16, 152), 'Finish']]"
Lexi's Super Strong Shoulder Start,Jaeden,46,20,4,"[[(96, 48), 'Starting'], [(64, 56), 'Hand'], [(64, 80), 'Hand'], [(40, 88), 'Hand'], [(80, 112), 'Hand'], [(80, 128), 'Hand'], [(104, 152), 'Finish'], [(84, 20), 'Feet'], [(100, 36), 'Feet'], [(28, 44), 'Feet']]"
captain deweys adventure wall,beachesrockgym,149,20,1,"[[(136, 16), 'Feet'], [(136, 40), 'Starting'], [(72, 56), 'Feet'], [(112, 64), 'Feet'], [(136, 80), 'Hand'], [(104, 88), 'Hand'], [(104, 96), 'Hand'], [(64, 104), 'Hand'], [(88, 128), 'Hand'], [(72, 152), 'Finish'], [(116, 4), 'Feet'], [(100, 36), 'Feet']]"
tall not strong,DrVegaa,72,40,5,"[[(72, 40), 'Starting'], [(96, 48), 'Feet'], [(64, 72), 'Hand'], [(80, 72), 'Hand'], [(88, 104), 'Hand'], [(48, 112), 'Hand'], [(72, 152), 'Finish'], [(76, 4), 'Feet'], [(68, 20), 'Feet']]"
duo m f,Annick.Malenfant,72,15,1,"[[(56, 24), 'Feet'], [(64, 32), 'Feet'], [(40, 48), 'Starting'], [(48, 48), 'Starting'], [(32, 72), 'Hand'], [(48, 80), 'Hand'], [(40, 88), 'Hand'], [(56, 112), 'Hand'], [(72, 136), 'Hand'], [(72, 152), 'Finish'], [(28, 28), 'Feet'], [(60, 76), 'Feet'], [(68, 84), 'Feet'], [(76, 108), 'Feet']]"
Warm ‘n fuzzy,englewoodipad,64,20,3,"[[(112, 24), 'Starting'], [(96, 40), 'Starting'], [(64, 64), 'Hand'], [(96, 64), 'Hand'], [(64, 80), 'Hand'], [(56, 96), 'Hand'], [(88, 112), 'Hand'], [(96, 136), 'Hand'], [(112, 152), 'Finish'], [(84, 4), 'Feet'], [(52, 36), 'Feet'], [(116, 84), 'Feet']]"
Emma Goldman,muuurcl,47,15,0,"[[(64, 16), 'Feet'], [(80, 40), 'Feet'], [(56, 64), 'Starting'], [(88, 72), 'Starting'], [(48, 80), 'Hand'], [(64, 80), 'Feet'], [(72, 104), 'Hand'], [(56, 112), 'Hand'], [(88, 128), 'Hand'], [(72, 152), 'Finish']]"
Cruise liner,lewi123,57,10,2,"[[(88, 24), 'Feet'], [(56, 32), 'Feet'], [(72, 56), 'Starting'], [(88, 56), 'Starting'], [(56, 64), 'Hand'], [(88, 80), 'Hand'], [(104, 96), 'Feet'], [(64, 104), 'Hand'], [(88, 120), 'Hand'], [(96, 128), 'Hand'], [(112, 152), 'Finish']]"
Heisenberg’s Uncertainty,wallclomber109,96,0,5,"[[(16, 32), 'Starting'], [(56, 40), 'Starting'], [(40, 80), 'Hand'], [(80, 96), 'Hand'], [(112, 96), 'Hand'], [(88, 104), 'Hand'], [(128, 120), 'Hand'], [(104, 152), 'Finish'], [(20, 4), 'Feet'], [(12, 4), 'Feet'], [(20, 36), 'Feet'], [(12, 44), 'Feet'], [(52, 52), 'Feet'], [(132, 68), 'Feet'], [(140, 76), 'Feet'], [(140, 92), 'Feet']]"
Curious George 3,coleyyyyyyyyyyyyyyyyyyyy,91,25,5,"[[(8, 40), 'Starting'], [(112, 56), 'Feet'], [(32, 72), 'Hand'], [(112, 80), 'Feet'], [(64, 88), 'Hand'], [(80, 88), 'Hand'], [(88, 104), 'Hand'], [(64, 120), 'Hand'], [(64, 128), 'Hand'], [(88, 144), 'Hand'], [(96, 152), 'Finish'], [(28, 4), 'Feet'], [(36, 84), 'Hand']]"
Guanajuato kebab,andrewharmon,77,10,5,"[[(120, 40), 'Starting'], [(80, 56), 'Hand'], [(96, 64), 'Hand'], [(80, 80), 'Hand'], [(40, 96), 'Hand'], [(48, 96), 'Hand'], [(64, 136), 'Hand'], [(72, 152), 'Finish'], [(140, 28), 'Feet'], [(68, 36), 'Feet'], [(36, 52), 'Feet'], [(36, 68), 'Feet'], [(60, 76), 'Feet']]"
Luis’ Boulder,thatboyginger,59,40,1,"[[(112, 40), 'Feet'], [(96, 64), 'Feet'], [(112, 80), 'Starting'], [(136, 80), 'Feet'], [(136, 88), 'Starting'], [(104, 104), 'Hand'], [(120, 112), 'Hand'], [(104, 128), 'Hand'], [(120, 152), 'Finish'], [(140, 28), 'Feet']]"
Drop Bear,klausskyworker,58,25,3,"[[(56, 24), 'Feet'], [(80, 32), 'Feet'], [(88, 32), 'Starting'], [(112, 40), 'Starting'], [(56, 72), 'Hand'], [(104, 72), 'Hand'], [(64, 96), 'Hand'], [(64, 104), 'Hand'], [(88, 112), 'Hand'], [(80, 128), 'Hand'], [(96, 152), 'Finish'], [(108, 4), 'Feet'], [(76, 4), 'Feet']]"
wine and peanut butter,drphil,55,20,5,"[[(80, 16), 'Starting'], [(48, 48), 'Starting'], [(64, 72), 'Hand'], [(48, 88), 'Hand'], [(64, 120), 'Hand'], [(80, 120), 'Hand'], [(104, 136), 'Hand'], [(104, 152), 'Finish'], [(52, 84), 'Feet']]"
Penguin Chalk-Up,stone.gardens,41,30,1,"[[(8, 16), 'Feet'], [(32, 24), 'Feet'], [(16, 40), 'Starting'], [(32, 48), 'Starting'], [(32, 72), 'Hand'], [(48, 80), 'Hand'], [(24, 88), 'Hand'], [(8, 112), 'Hand'], [(24, 136), 'Hand'], [(32, 152), 'Finish'], [(36, 4), 'Feet'], [(12, 60), 'Feet'], [(12, 92), 'Feet']]"
Powersaur,walker_climbs,148,40,5,"[[(88, 8), 'Feet'], [(96, 48), 'Starting'], [(104, 48), 'Starting'], [(64, 80), 'Hand'], [(80, 80), 'Hand'], [(56, 112), 'Hand'], [(32, 136), 'Hand'], [(64, 152), 'Finish'], [(108, 4), 'Feet'], [(68, 84), 'Feet'], [(28, 92), 'Feet']]"
new and improved,Elijah.climber,75,20,7,"[[(32, 8), 'Feet'], [(32, 32), 'Starting'], [(56, 40), 'Starting'], [(96, 56), 'Hand'], [(96, 64), 'Hand'], [(112, 80), 'Hand'], [(104, 96), 'Hand'], [(64, 128), 'Hand'], [(64, 136), 'Hand'], [(32, 152), 'Finish'], [(116, 52), 'Feet'], [(84, 100), 'Hand']]"
